Municipio,Numero_Focos,lat,lon,IMRI,Classificação_IMRI,Bioma_Mais_Afetado,Mes_Mais_Afetado,Focos 2015,Focos 2016,Focos 2017,Focos 2018,Focos 2019,Focos 2020,Focos 2021,Focos 2022,Focos 2023,Focos 2024,Focos 2025
MORADA NOVA DE MINAS,82,-18.56967658536585,-45.45825073170732,7.45,Baixo,Cerrado,Set,4.0,15.0,8.0,6.0,3.0,2.0,18.0,8.0,2.0,13.0,3.0
LIBERDADE,82,-22.004743292682928,-44.321921707317074,7.45,Baixo,Mata Atlântica,Ago,6.0,9.0,5.0,5.0,7.0,14.0,5.0,1.0,11.0,14.0,5.0
BERILO,81,-16.808068271604938,-42.5114049382716,7.36,Baixo,Cerrado,Out,17.0,1.0,2.0,3.0,5.0,6.0,22.0,12.0,3.0,5.0,5.0
TAPIRAÍ,81,-19.87434530864197,-46.15475679012346,7.36,Baixo,Cerrado,Set,4.0,11.0,9.0,2.0,5.0,6.0,14.0,11.0,2.0,0.0,17.0
ITUTINGA,81,-21.36490543209877,-44.70844666666667,7.36,Baixo,Mata Atlântica,Set,6.0,4.0,11.0,4.0,4.0,12.0,10.0,4.0,5.0,16.0,5.0
POUSO ALEGRE,80,-22.254193375,-45.918342,7.27,Baixo,Mata Atlântica,Ago,3.0,12.0,4.0,2.0,2.0,9.0,20.0,1.0,3.0,15.0,9.0
ESTRELA DO INDAIÁ,80,-19.619477,-45.842026125,7.27,Baixo,Cerrado,Set,0.0,10.0,2.0,4.0,4.0,9.0,16.0,9.0,5.0,7.0,14.0
CANDEIAS,80,-20.745522625,-45.28992625,7.27,Baixo,Mata Atlântica,Set,7.0,9.0,13.0,3.0,2.0,11.0,4.0,14.0,6.0,8.0,3.0
LUMINÁRIAS,80,-21.56189475,-44.92617325,7.27,Baixo,Mata Atlântica,Set,2.0,6.0,7.0,5.0,15.0,3.0,15.0,9.0,5.0,9.0,4.0
MATOZINHOS,80,-19.5617095,-44.073983875,7.27,Baixo,Cerrado,Set,6.0,5.0,8.0,3.0,15.0,3.0,14.0,3.0,6.0,6.0,11.0
BARÃO DE COCAIS,79,-19.89545379746836,-43.4955275949367,7.18,Baixo,Mata Atlântica,Set,6.0,4.0,2.0,2.0,8.0,3.0,6.0,6.0,4.0,29.0,9.0
SANTO ANTÔNIO DO AMPARO,79,-20.936842911392407,-44.91736,7.18,Baixo,Mata Atlântica,Ago,3.0,1.0,8.0,4.0,4.0,9.0,13.0,13.0,8.0,12.0,4.0
CAMPO BELO,78,-20.90410141025641,-45.229253846153846,7.09,Baixo,Mata Atlântica,Set,0.0,6.0,8.0,0.0,2.0,8.0,9.0,8.0,7.0,15.0,15.0
AIURUOCA,78,-21.964682307692307,-44.645853333333335,7.09,Baixo,Mata Atlântica,Set,0.0,10.0,8.0,2.0,14.0,17.0,9.0,2.0,1.0,13.0,2.0
CARMÉSIA,78,-19.03297012820513,-43.191693846153846,7.09,Baixo,Mata Atlântica,Out,8.0,4.0,4.0,2.0,24.0,2.0,0.0,3.0,1.0,17.0,13.0
LAJINHA,78,-20.16184717948718,-41.558192948717945,7.09,Baixo,Mata Atlântica,Set,4.0,5.0,8.0,2.0,12.0,9.0,13.0,2.0,2.0,11.0,10.0
CÁSSIA,77,-20.534913376623376,-46.93906298701299,7.0,Baixo,Cerrado,Set,1.0,2.0,12.0,4.0,6.0,11.0,8.0,2.0,2.0,22.0,7.0
RIO CASCA,77,-20.098096103896104,-42.70658246753246,7.0,Baixo,Mata Atlântica,Set,3.0,6.0,13.0,0.0,5.0,16.0,7.0,2.0,4.0,13.0,8.0
PRADOS,76,-21.142318289473685,-44.05827157894737,6.91,Baixo,Mata Atlântica,Ago,2.0,13.0,3.0,4.0,7.0,3.0,7.0,5.0,5.0,10.0,17.0
SÃO JOSÉ DO JACURI,76,-18.24883013157895,-42.65678092105263,6.91,Baixo,Mata Atlântica,Set,9.0,4.0,1.0,2.0,14.0,4.0,0.0,3.0,4.0,20.0,15.0
SÃO FRANCISCO DE SALES,76,-19.78801434210526,-49.83164657894737,6.91,Baixo,Cerrado,Ago,12.0,8.0,1.0,7.0,4.0,11.0,10.0,5.0,3.0,9.0,6.0
MATO VERDE,76,-15.447860526315788,-42.86280434210526,6.91,Baixo,Cerrado,Set,4.0,0.0,3.0,8.0,6.0,12.0,6.0,11.0,5.0,2.0,19.0
PARAGUAÇU,75,-21.568603066666668,-45.76435773333333,6.82,Baixo,Mata Atlântica,Ago,1.0,4.0,9.0,4.0,11.0,13.0,4.0,6.0,9.0,10.0,4.0
VISCONDE DO RIO BRANCO,75,-21.00786773333333,-42.83444226666666,6.82,Baixo,Mata Atlântica,Ago,7.0,4.0,11.0,0.0,11.0,3.0,11.0,4.0,2.0,15.0,7.0
MORRO DO PILAR,75,-19.2360824,-43.38358306666667,6.82,Baixo,Cerrado,Out,13.0,0.0,9.0,3.0,14.0,2.0,9.0,2.0,5.0,16.0,2.0
JOANÉSIA,75,-19.196366,-42.70197746666667,6.82,Baixo,Mata Atlântica,Out,12.0,5.0,9.0,1.0,26.0,1.0,3.0,3.0,1.0,8.0,6.0
MOEDA,75,-20.332716933333334,-43.994036,6.82,Baixo,Mata Atlântica,Set,1.0,6.0,21.0,0.0,12.0,9.0,4.0,2.0,5.0,15.0,0.0
MONTE SANTO DE MINAS,75,-21.17671333333333,-46.97171746666667,6.82,Baixo,Cerrado,Ago,5.0,12.0,11.0,5.0,5.0,9.0,9.0,1.0,1.0,6.0,11.0
CONTAGEM,74,-19.866788108108107,-44.0895927027027,6.73,Baixo,Cerrado,Set,4.0,2.0,9.0,1.0,15.0,4.0,12.0,5.0,0.0,13.0,9.0
JAGUARAÇU,74,-19.61469527027027,-42.70030635135135,6.73,Baixo,Mata Atlântica,Set,2.0,3.0,1.0,1.0,37.0,0.0,2.0,3.0,2.0,18.0,5.0
CÓRREGO NOVO,74,-19.82607675675676,-42.43000756756757,6.73,Baixo,Mata Atlântica,Set,6.0,2.0,2.0,0.0,18.0,0.0,1.0,10.0,1.0,18.0,16.0
DORES DO INDAIÁ,73,-19.491909178082192,-45.5452105479452,6.64,Baixo,Cerrado,Set,6.0,12.0,1.0,5.0,4.0,4.0,21.0,12.0,5.0,2.0,1.0
GUAXUPÉ,73,-21.31019575342465,-46.68234712328767,6.64,Baixo,Mata Atlântica,Set,3.0,6.0,4.0,5.0,7.0,14.0,18.0,4.0,3.0,5.0,4.0
CAPITÓLIO,72,-20.60975805555556,-46.187449027777774,6.55,Baixo,Cerrado,Set,1.0,14.0,6.0,4.0,10.0,14.0,4.0,7.0,9.0,1.0,2.0
MIRAVÂNIA,72,-14.734324722222222,-44.44432472222222,6.55,Baixo,Cerrado,Set,6.0,2.0,0.0,0.0,7.0,4.0,40.0,2.0,1.0,2.0,8.0
PLANURA,72,-20.0939575,-48.666405,6.55,Baixo,Cerrado,Set,1.0,8.0,4.0,3.0,1.0,8.0,38.0,4.0,3.0,2.0,0.0
DOM BOSCO,72,-16.75811486111111,-46.34139291666666,6.55,Baixo,Cerrado,Set,4.0,17.0,2.0,8.0,5.0,16.0,3.0,3.0,3.0,2.0,9.0
ITAMBÉ DO MATO DENTRO,72,-19.38689930555556,-43.3769025,6.55,Baixo,Cerrado,Out,5.0,2.0,2.0,1.0,5.0,32.0,4.0,7.0,0.0,4.0,10.0
LAGOA DOURADA,72,-20.91897847222222,-44.05256777777778,6.55,Baixo,Mata Atlântica,Ago,3.0,7.0,7.0,6.0,3.0,12.0,5.0,5.0,3.0,12.0,9.0
PRUDENTE DE MORAIS,71,-19.472731690140844,-44.13772915492957,6.45,Baixo,Cerrado,Set,2.0,9.0,11.0,4.0,13.0,8.0,8.0,1.0,2.0,12.0,1.0
ANDRADAS,71,-22.02297323943662,-46.56051704225352,6.45,Baixo,Mata Atlântica,Set,0.0,1.0,7.0,6.0,6.0,14.0,17.0,4.0,2.0,8.0,6.0
PASSA TEMPO,71,-20.62106,-44.50426732394366,6.45,Baixo,Mata Atlântica,Set,3.0,10.0,19.0,0.0,4.0,0.0,3.0,16.0,0.0,15.0,1.0
JOSENÓPOLIS,71,-16.556409718309858,-42.507910563380285,6.45,Baixo,Cerrado,Set,16.0,4.0,2.0,5.0,3.0,7.0,1.0,5.0,15.0,5.0,8.0
BOTUMIRIM,71,-16.982510985915493,-43.03315661971831,6.45,Baixo,Cerrado,Out,26.0,4.0,2.0,1.0,4.0,5.0,6.0,6.0,10.0,0.0,7.0
CONSELHEIRO LAFAIETE,71,-20.67683507042253,-43.77997845070423,6.45,Baixo,Mata Atlântica,Set,3.0,2.0,7.0,3.0,10.0,7.0,6.0,4.0,2.0,22.0,5.0
ITATIAIUÇU,70,-20.213651,-44.43798471428571,6.36,Baixo,Mata Atlântica,Ago,5.0,10.0,6.0,2.0,16.0,2.0,3.0,4.0,2.0,18.0,2.0
FRUTA DE LEITE,70,-16.09216357142857,-42.55959728571428,6.36,Baixo,Cerrado,Out,12.0,1.0,5.0,1.0,7.0,10.0,4.0,6.0,5.0,3.0,16.0
ONÇA DE PITANGUI,69,-19.687432753623188,-44.74096855072464,6.27,Baixo,Mata Atlântica,Ago,0.0,16.0,26.0,0.0,0.0,2.0,8.0,1.0,1.0,15.0,0.0
PORTO FIRME,69,-20.664535217391304,-43.07915260869565,6.27,Baixo,Mata Atlântica,Set,6.0,0.0,14.0,1.0,4.0,7.0,8.0,2.0,10.0,16.0,1.0
COROACI,69,-18.61659304347826,-42.29658115942029,6.27,Baixo,Mata Atlântica,Out,11.0,2.0,0.0,1.0,17.0,0.0,10.0,13.0,4.0,6.0,5.0
SANTANA DO PARAÍSO,69,-19.382887536231884,-42.549325942028986,6.27,Baixo,Mata Atlântica,Set,5.0,6.0,5.0,0.0,11.0,1.0,5.0,2.0,2.0,28.0,4.0
RESPLENDOR,69,-19.2182484057971,-41.15302898550725,6.27,Baixo,Mata Atlântica,Set,17.0,1.0,1.0,2.0,9.0,4.0,10.0,7.0,5.0,2.0,11.0
LAGOA DOS PATOS,69,-17.03378797101449,-44.69725579710145,6.27,Baixo,Cerrado,Ago,3.0,4.0,1.0,2.0,3.0,7.0,10.0,12.0,21.0,3.0,3.0
SÃO VICENTE DE MINAS,68,-21.65714808823529,-44.47530823529412,6.18,Baixo,Mata Atlântica,Set,4.0,5.0,12.0,2.0,6.0,5.0,10.0,6.0,3.0,11.0,4.0
PAULISTAS,68,-18.43803705882353,-42.86225044117647,6.18,Baixo,Mata Atlântica,Set,11.0,1.0,7.0,7.0,7.0,4.0,8.0,12.0,2.0,5.0,4.0
LIMA DUARTE,68,-21.763386911764705,-43.92054205882353,6.18,Baixo,Mata Atlântica,Set,3.0,9.0,7.0,2.0,6.0,14.0,3.0,4.0,1.0,15.0,4.0
PONTO CHIQUE,67,-16.600624477611937,-45.02534507462686,6.09,Baixo,Cerrado,Set,3.0,2.0,8.0,6.0,5.0,4.0,15.0,2.0,8.0,5.0,9.0
FRONTEIRA,67,-20.236976119402986,-49.18561805970149,6.09,Baixo,Cerrado,Ago,5.0,9.0,15.0,6.0,8.0,6.0,7.0,0.0,3.0,5.0,3.0
JAMPRUCA,67,-18.43388985074627,-41.778900746268654,6.09,Baixo,Mata Atlântica,Out,4.0,6.0,6.0,2.0,17.0,2.0,5.0,3.0,0.0,15.0,7.0
ENTRE RIOS DE MINAS,67,-20.698084029850747,-44.0959919402985,6.09,Baixo,Mata Atlântica,Set,5.0,12.0,11.0,2.0,10.0,8.0,4.0,5.0,0.0,7.0,3.0
SÃO SEBASTIÃO DO OESTE,67,-20.24625223880597,-45.03730671641791,6.09,Baixo,Cerrado,Ago,2.0,3.0,4.0,6.0,9.0,8.0,12.0,6.0,1.0,13.0,3.0
VIRGOLÂNDIA,67,-18.460234179104475,-42.3163352238806,6.09,Baixo,Mata Atlântica,Set,13.0,2.0,5.0,0.0,17.0,4.0,9.0,3.0,1.0,9.0,4.0
TIMÓTEO,66,-19.568754848484847,-42.64087348484848,6.0,Baixo,Mata Atlântica,Set,8.0,2.0,10.0,0.0,10.0,2.0,9.0,8.0,5.0,8.0,4.0
CENTRALINA,66,-18.611607727272727,-49.178785454545455,6.0,Baixo,Mata Atlântica,Ago,4.0,1.0,10.0,10.0,15.0,12.0,2.0,6.0,0.0,4.0,2.0
DIVINO,66,-20.57970075757576,-42.18453333333333,6.0,Baixo,Mata Atlântica,Set,1.0,4.0,9.0,2.0,7.0,4.0,15.0,8.0,0.0,10.0,6.0
RIO PIRACICABA,66,-19.94776196969697,-43.16915106060606,6.0,Baixo,Mata Atlântica,Set,4.0,4.0,1.0,5.0,5.0,9.0,7.0,6.0,1.0,19.0,5.0
ALVINÓPOLIS,66,-20.12785166666667,-43.227563333333336,6.0,Baixo,Mata Atlântica,Ago,4.0,9.0,11.0,7.0,12.0,1.0,6.0,4.0,5.0,3.0,4.0
CHIADOR,66,-22.02808409090909,-43.042439696969694,6.0,Baixo,Mata Atlântica,Set,3.0,0.0,21.0,0.0,4.0,3.0,3.0,1.0,7.0,10.0,14.0
ALVORADA DE MINAS,66,-18.798424696969697,-43.39921909090909,6.0,Baixo,Mata Atlântica,Set,4.0,4.0,7.0,1.0,22.0,0.0,2.0,7.0,7.0,9.0,3.0
MONTE FORMOSO,66,-16.88525015151515,-41.2367109090909,6.0,Baixo,Mata Atlântica,Out,14.0,6.0,1.0,2.0,4.0,10.0,13.0,2.0,6.0,1.0,7.0
SIMONÉSIA,65,-19.96145953846154,-41.967514615384616,5.91,Baixo,Mata Atlântica,Set,3.0,4.0,3.0,0.0,3.0,14.0,9.0,14.0,0.0,2.0,13.0
SÃO GONÇALO DO RIO PRETO,65,-18.07383307692308,-43.36448707692308,5.91,Baixo,Cerrado,Set,14.0,1.0,16.0,1.0,7.0,1.0,13.0,2.0,1.0,9.0,0.0
SANTA MARIA DE ITABIRA,65,-19.399553230769232,-43.01940876923077,5.91,Baixo,Mata Atlântica,Set,4.0,0.0,7.0,0.0,23.0,3.0,2.0,1.0,2.0,22.0,1.0
CORDISBURGO,65,-19.11707907692308,-44.213743692307695,5.91,Baixo,Cerrado,Set,3.0,4.0,4.0,8.0,8.0,4.0,6.0,7.0,3.0,10.0,8.0
MESQUITA,64,-19.25568015625,-42.614250625,5.82,Baixo,Mata Atlântica,Out,25.0,2.0,4.0,1.0,2.0,1.0,3.0,8.0,1.0,12.0,5.0
MURIAÉ,64,-21.0978228125,-42.4046071875,5.82,Baixo,Mata Atlântica,Set,0.0,12.0,10.0,1.0,6.0,4.0,8.0,6.0,6.0,11.0,0.0
JACUTINGA,64,-22.29517171875,-46.6111915625,5.82,Baixo,Mata Atlântica,Set,2.0,4.0,10.0,5.0,7.0,10.0,14.0,1.0,1.0,6.0,4.0
IBERTIOGA,64,-21.44732796875,-43.94049953125,5.82,Baixo,Mata Atlântica,Ago,2.0,7.0,4.0,3.0,7.0,3.0,4.0,6.0,10.0,11.0,7.0
DATAS,63,-18.47739142857143,-43.65189841269841,5.73,Baixo,Cerrado,Set,5.0,1.0,2.0,8.0,6.0,5.0,12.0,4.0,6.0,3.0,11.0
CONCEIÇÃO DO RIO VERDE,63,-21.91307619047619,-45.09688761904762,5.73,Baixo,Mata Atlântica,Set,6.0,3.0,11.0,6.0,5.0,5.0,7.0,2.0,5.0,9.0,4.0
IBIRACI,63,-20.39161888888889,-47.09286857142857,5.73,Baixo,Cerrado,Set,2.0,6.0,4.0,0.0,0.0,9.0,13.0,1.0,2.0,22.0,4.0
SÃO JOSÉ DA BARRA,63,-20.75309761904762,-46.27524222222222,5.73,Baixo,Cerrado,Set,1.0,2.0,15.0,1.0,3.0,16.0,5.0,0.0,5.0,13.0,2.0
SÃO JOÃO DA LAGOA,63,-16.880886984126985,-44.3966246031746,5.73,Baixo,Cerrado,Set,15.0,1.0,4.0,0.0,6.0,9.0,19.0,3.0,3.0,0.0,3.0
ALTO RIO DOCE,62,-21.029095,-43.36548161290323,5.64,Baixo,Mata Atlântica,Set,5.0,1.0,8.0,3.0,5.0,8.0,3.0,4.0,7.0,12.0,6.0
VIÇOSA,62,-20.74383693548387,-42.88015403225807,5.64,Baixo,Mata Atlântica,Set,0.0,9.0,9.0,2.0,4.0,2.0,3.0,10.0,0.0,19.0,4.0
DIVISA ALEGRE,62,-15.71399758064516,-41.36103225806452,5.64,Baixo,Mata Atlântica,Set,18.0,1.0,5.0,2.0,7.0,5.0,8.0,6.0,4.0,3.0,3.0
URUANA DE MINAS,62,-16.100645322580643,-46.31081677419356,5.64,Baixo,Cerrado,Out,20.0,3.0,4.0,4.0,2.0,13.0,8.0,2.0,4.0,2.0,0.0
FUNILÂNDIA,62,-19.344851612903224,-44.09361967741936,5.64,Baixo,Cerrado,Ago,2.0,4.0,13.0,1.0,8.0,0.0,8.0,2.0,6.0,14.0,4.0
CABECEIRA GRANDE,62,-16.02783016129032,-47.10512661290323,5.64,Baixo,Cerrado,Set,5.0,6.0,14.0,1.0,0.0,13.0,3.0,4.0,2.0,10.0,4.0
INGAÍ,62,-21.391056129032258,-44.95015741935484,5.64,Baixo,Mata Atlântica,Set,5.0,6.0,15.0,1.0,9.0,3.0,7.0,4.0,1.0,1.0,10.0
SERRANÓPOLIS DE MINAS,62,-15.848924516129031,-42.90220967741935,5.64,Baixo,Cerrado,Out,10.0,7.0,8.0,2.0,5.0,3.0,4.0,8.0,11.0,4.0,0.0
BERTÓPOLIS,62,-16.887414516129034,-40.56220129032258,5.64,Baixo,Mata Atlântica,Set,14.0,5.0,2.0,5.0,13.0,3.0,7.0,2.0,6.0,3.0,2.0
SÃO FRANCISCO DE PAULA,61,-20.717952786885245,-44.99261459016393,5.55,Baixo,Mata Atlântica,Set,1.0,1.0,4.0,1.0,7.0,2.0,4.0,2.0,1.0,25.0,13.0
ARICANDUVA,61,-17.884544590163934,-42.62045442622952,5.55,Baixo,Mata Atlântica,Jun,5.0,0.0,4.0,1.0,1.0,3.0,15.0,14.0,6.0,6.0,6.0
SÃO GONÇALO DO RIO ABAIXO,61,-19.84310983606557,-43.315650655737706,5.55,Baixo,Mata Atlântica,Set,0.0,0.0,13.0,1.0,10.0,0.0,6.0,8.0,5.0,16.0,2.0
SÃO JOSÉ DA SAFIRA,61,-18.29805721311476,-42.15217262295082,5.55,Baixo,Mata Atlântica,Set,15.0,1.0,0.0,2.0,9.0,0.0,23.0,1.0,1.0,8.0,1.0
FREI GASPAR,61,-18.0811462295082,-41.52157262295082,5.55,Baixo,Mata Atlântica,Set,2.0,2.0,1.0,3.0,2.0,1.0,20.0,12.0,4.0,7.0,7.0
FELÍCIO DOS SANTOS,61,-18.16663606557377,-43.24287491803278,5.55,Baixo,Cerrado,Out,19.0,1.0,5.0,2.0,3.0,1.0,8.0,6.0,7.0,5.0,4.0
PERDIGÃO,60,-19.94516033333333,-45.042060500000005,5.45,Baixo,Cerrado,Set,3.0,2.0,13.0,6.0,4.0,2.0,9.0,2.0,4.0,8.0,7.0
MONTE AZUL,60,-15.244706333333331,-42.97213566666667,5.45,Baixo,Caatinga,Out,2.0,1.0,2.0,1.0,3.0,0.0,17.0,8.0,13.0,4.0,9.0
COQUEIRAL,60,-21.194157166666667,-45.41969683333333,5.45,Baixo,Mata Atlântica,Set,3.0,3.0,12.0,3.0,0.0,6.0,3.0,10.0,4.0,13.0,3.0
POCRANE,60,-19.55483,-41.55843033333333,5.45,Baixo,Mata Atlântica,Out,9.0,2.0,1.0,0.0,16.0,0.0,3.0,6.0,5.0,7.0,11.0
SANTO HIPÓLITO,60,-18.379032833333333,-44.173585333333335,5.45,Baixo,Cerrado,Set,0.0,2.0,0.0,0.0,11.0,0.0,4.0,2.0,0.0,8.0,33.0
JECEABA,60,-20.541919333333333,-44.02663766666667,5.45,Baixo,Mata Atlântica,Set,4.0,3.0,16.0,1.0,8.0,2.0,7.0,3.0,3.0,7.0,6.0
VEREDINHA,59,-17.525515593220337,-42.675929322033895,5.36,Baixo,Cerrado,Set,4.0,1.0,4.0,2.0,8.0,1.0,7.0,9.0,11.0,11.0,1.0
CAETANÓPOLIS,59,-19.34711830508475,-44.39205610169492,5.36,Baixo,Cerrado,Ago,0.0,6.0,8.0,4.0,10.0,6.0,1.0,6.0,8.0,6.0,4.0
CAMPESTRE,59,-21.688239152542373,-46.19741237288135,5.36,Baixo,Mata Atlântica,Set,0.0,5.0,11.0,3.0,8.0,2.0,11.0,3.0,1.0,11.0,4.0
BOM JARDIM DE MINAS,59,-21.949364237288137,-44.13899101694915,5.36,Baixo,Mata Atlântica,Ago,3.0,4.0,10.0,2.0,6.0,7.0,7.0,4.0,1.0,14.0,1.0
CONGONHAS DO NORTE,59,-18.86816711864407,-43.69911661016949,5.36,Baixo,Cerrado,Set,2.0,2.0,8.0,6.0,1.0,11.0,12.0,3.0,2.0,8.0,4.0
COLUNA,58,-18.248377586206896,-42.839669655172415,5.27,Baixo,Mata Atlântica,Set,3.0,4.0,10.0,2.0,5.0,5.0,14.0,2.0,3.0,8.0,2.0
ITAMOGI,57,-21.089678771929822,-47.05432859649123,5.18,Baixo,Cerrado,Ago,3.0,3.0,7.0,5.0,3.0,6.0,7.0,2.0,6.0,7.0,8.0
INHAÚMA,57,-19.49634438596491,-44.39521,5.18,Baixo,Cerrado,Set,4.0,2.0,13.0,1.0,10.0,10.0,7.0,0.0,2.0,8.0,0.0
SALTO DA DIVISA,57,-16.11366754385965,-40.0263149122807,5.18,Baixo,Mata Atlântica,Set,10.0,5.0,1.0,0.0,4.0,2.0,13.0,3.0,10.0,4.0,5.0
IPATINGA,56,-19.41834714285714,-42.62922375,5.09,Baixo,Mata Atlântica,Set,10.0,0.0,1.0,2.0,12.0,7.0,7.0,1.0,0.0,15.0,1.0
PAVÃO,56,-17.473614107142858,-41.14395196428571,5.09,Baixo,Mata Atlântica,Out,15.0,3.0,9.0,5.0,8.0,1.0,5.0,2.0,1.0,6.0,1.0
INIMUTABA,55,-18.712753454545457,-44.27020272727273,5.0,Baixo,Cerrado,Set,1.0,7.0,4.0,2.0,15.0,2.0,7.0,3.0,1.0,7.0,6.0
JEQUITIBÁ,55,-19.21764127272728,-44.00945072727272,5.0,Baixo,Cerrado,Set,3.0,3.0,3.0,1.0,11.0,0.0,10.0,4.0,2.0,2.0,16.0
MATHIAS LOBATO,55,-18.61386727272728,-41.91879581818182,5.0,Baixo,Mata Atlântica,Set,11.0,4.0,13.0,1.0,2.0,0.0,9.0,10.0,1.0,1.0,3.0
GUARANÉSIA,54,-21.298133333333336,-46.81043370370371,4.91,Baixo,Mata Atlântica,Set,3.0,3.0,4.0,0.0,8.0,15.0,14.0,0.0,1.0,3.0,3.0
MATERLÂNDIA,54,-18.458983148148143,-43.046060740740735,4.91,Baixo,Mata Atlântica,Out,15.0,2.0,9.0,1.0,5.0,3.0,2.0,7.0,1.0,0.0,9.0
PIEDADE DO RIO GRANDE,54,-21.494505925925928,-44.15958962962963,4.91,Baixo,Mata Atlântica,Set,2.0,2.0,8.0,0.0,8.0,7.0,5.0,2.0,2.0,10.0,8.0
MATIPÓ,54,-20.306942592592595,-42.28827370370371,4.91,Baixo,Mata Atlântica,Set,0.0,6.0,4.0,5.0,3.0,4.0,10.0,1.0,6.0,10.0,5.0
DELTA,54,-19.942876851851853,-47.80773703703704,4.91,Baixo,Cerrado,Set,5.0,2.0,10.0,2.0,23.0,1.0,7.0,1.0,0.0,3.0,0.0
GALILÉIA,54,-18.8658612962963,-41.52834296296296,4.91,Baixo,Mata Atlântica,Out,11.0,2.0,0.0,3.0,5.0,0.0,11.0,12.0,2.0,5.0,3.0
FRANCISCO BADARÓ,54,-16.958585555555555,-42.28253574074074,4.91,Baixo,Mata Atlântica,Set,22.0,4.0,2.0,5.0,2.0,6.0,2.0,2.0,6.0,0.0,3.0
BONFIM,53,-20.288714339622643,-44.19306245283018,4.82,Baixo,Mata Atlântica,Set,4.0,7.0,15.0,0.0,3.0,0.0,9.0,5.0,1.0,7.0,2.0
CENTRAL DE MINAS,53,-18.776030188679243,-41.29798547169811,4.82,Baixo,Mata Atlântica,Set,0.0,0.0,0.0,7.0,17.0,8.0,9.0,2.0,2.0,4.0,4.0
FERVEDOURO,53,-20.67713924528302,-42.31312566037736,4.82,Baixo,Mata Atlântica,Set,1.0,5.0,5.0,1.0,4.0,0.0,4.0,9.0,1.0,17.0,6.0
SANTO ANTÔNIO DO RETIRO,53,-15.343070943396228,-42.60479,4.82,Baixo,Cerrado,Out,3.0,1.0,1.0,1.0,3.0,0.0,20.0,11.0,7.0,0.0,6.0
CARANGOLA,53,-20.715012264150943,-42.08293150943397,4.82,Baixo,Mata Atlântica,Ago,3.0,11.0,3.0,0.0,12.0,1.0,3.0,3.0,3.0,11.0,3.0
MENDES PIMENTEL,53,-18.61799245283019,-41.34530490566038,4.82,Baixo,Mata Atlântica,Out,3.0,3.0,0.0,15.0,14.0,4.0,3.0,2.0,3.0,3.0,3.0
LAGOA FORMOSA,53,-18.754191698113207,-46.407182830188674,4.82,Baixo,Cerrado,Set,2.0,5.0,5.0,5.0,8.0,6.0,7.0,2.0,0.0,8.0,5.0
SANTOS DUMONT,52,-21.45376057692308,-43.559375,4.73,Baixo,Mata Atlântica,Set,3.0,2.0,5.0,6.0,5.0,5.0,2.0,5.0,4.0,10.0,5.0
ESPERA FELIZ,52,-20.605105961538463,-41.946888076923074,4.73,Baixo,Mata Atlântica,Set,4.0,7.0,4.0,0.0,3.0,0.0,5.0,5.0,3.0,17.0,4.0
GUIMARÂNIA,52,-18.82493480769231,-46.75982134615385,4.73,Baixo,Cerrado,Set,0.0,3.0,7.0,0.0,2.0,7.0,5.0,6.0,4.0,7.0,11.0
SÃO JOAQUIM DE BICAS,52,-20.08060673076923,-44.245095,4.73,Baixo,Mata Atlântica,Set,0.0,4.0,15.0,0.0,8.0,2.0,1.0,5.0,1.0,13.0,3.0
PAULA CÂNDIDO,52,-20.85030673076923,-42.97376615384615,4.73,Baixo,Mata Atlântica,Set,2.0,2.0,5.0,2.0,6.0,5.0,6.0,5.0,3.0,12.0,4.0
FRONTEIRA DOS VALES,52,-16.879790384615383,-40.84992057692308,4.73,Baixo,Mata Atlântica,Out,14.0,8.0,2.0,2.0,3.0,7.0,11.0,2.0,1.0,0.0,2.0
SANTA MARGARIDA,52,-20.40888769230769,-42.2526025,4.73,Baixo,Mata Atlântica,Set,1.0,4.0,5.0,1.0,10.0,1.0,7.0,3.0,1.0,12.0,7.0
SANTO ANTÔNIO DO ITAMBÉ,51,-18.471188039215686,-43.258930784313726,4.64,Baixo,Mata Atlântica,Set,8.0,1.0,3.0,0.0,4.0,2.0,9.0,5.0,6.0,10.0,3.0
ITAGUARA,51,-20.3570362745098,-44.53352843137255,4.64,Baixo,Mata Atlântica,Ago,0.0,2.0,1.0,2.0,5.0,5.0,4.0,5.0,0.0,23.0,4.0
PIMENTA,51,-20.55243901960784,-45.82954803921569,4.64,Baixo,Cerrado,Set,8.0,1.0,2.0,4.0,9.0,9.0,2.0,6.0,0.0,7.0,3.0
PAINS,50,-20.4011236,-45.712163200000006,4.55,Baixo,Cerrado,Set,1.0,7.0,5.0,3.0,4.0,5.0,3.0,8.0,5.0,6.0,3.0
BELMIRO BRAGA,50,-21.997792800000003,-43.4837086,4.55,Baixo,Mata Atlântica,Set,0.0,6.0,12.0,1.0,3.0,2.0,2.0,4.0,5.0,11.0,4.0
BELO HORIZONTE,50,-19.8609822,-43.927152,4.55,Baixo,Cerrado,Jul,3.0,6.0,6.0,4.0,2.0,2.0,11.0,2.0,4.0,4.0,6.0
ICARAÍ DE MINAS,50,-16.2146218,-44.9005658,4.55,Baixo,Cerrado,Out,7.0,4.0,1.0,2.0,9.0,1.0,9.0,5.0,6.0,2.0,4.0
